emp_title,emp_length,state,homeownership,annual_income,verified_income,delinq_2y,months_since_last_delinq,num_historical_failed_to_pay,total_debit_limit,account_never_delinq_percent,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,loan_status,balance,paid_total,paid_principal,paid_interest,paid_late_fees
"director, support",10,WA,MORTGAGE,172000,Source Verified,0,26,0,38800,72.7,0,debt_consolidation,individual,25000,36,26.3,1011.27,Current,23579.25,2997.28,1420.75,1576.53,0
hr administrator,2,GA,MORTGAGE,70000,Not Verified,0,NA,0,7000,100,0,debt_consolidation,joint,21000,60,20.39,560.94,Current,20377.19,1635.24,622.81,1012.43,0
hair stylist,6,TX,MORTGAGE,50000,Not Verified,4,16,0,5200,69.6,0,credit_card,joint,32000,36,16.02,1125.35,Current,29150.98,4472.92,2849.02,1623.9,0
area sales manager se,10,NC,MORTGAGE,75000,Not Verified,0,NA,0,34450,96,0,debt_consolidation,individual,26600,60,9.93,564.26,Current,25200.36,2248.11,1399.64,848.47,0
swing driver,2,MI,MORTGAGE,71000,Source Verified,0,NA,0,12300,100,0,major_purchase,individual,20000,36,7.96,626.36,Current,19009.34,1243.88,990.66,253.22,0
,NA,IN,RENT,17340,Not Verified,0,70,0,2600,83.3,0,debt_consolidation,individual,10000,60,26.77,303.99,Current,9665.38,1201.09,334.62,866.47,0
sales,1,FL,OWN,79000,Source Verified,0,NA,0,37000,100,0,debt_consolidation,individual,12000,36,6.08,365.5,Current,10460.98,1833.33,1539.02,294.31,0
2nd shift supervisor,2,TX,MORTGAGE,55000,Verified,0,NA,0,27100,100,0,debt_consolidation,joint,25000,60,12.62,563.98,Current,24087.28,1718.23,912.72,805.51,0
website developer,7,SC,MORTGAGE,80000,Verified,1,23,0,15300,91.7,0,credit_card,joint,20000,60,14.07,466.1,Current,19297.02,1382.67,702.98,679.69,0
hvac service tech ,10,NY,MORTGAGE,96000,Not Verified,0,60,0,15000,89.5,0,other,individual,2400,36,10.42,77.92,Current,2168.69,310.29,231.31,78.98,0
training manager,10,NJ,MORTGAGE,86000,Not Verified,1,15,0,12700,94.3,0,debt_consolidation,individual,25000,60,25.81,745.71,Current,24579.52,1419.73,420.48,999.25,0
maintenance,4,CA,RENT,51000,Source Verified,0,NA,0,25300,100,0,debt_consolidation,individual,25000,36,6.08,761.46,Current,22441.46,3037.4,2558.54,478.86,0
maintenance tech,9,IN,OWN,42000,Verified,0,61,0,0,80,0,other,individual,2000,36,9.92,64.46,Current,1855.03,191.18,144.97,46.21,0
technician ,10,PA,MORTGAGE,65000,Source Verified,1,23,0,12800,86.7,0,debt_consolidation,individual,18000,60,20.39,480.81,Current,17647.11,920.84,352.89,567.95,0
"partner, coordinator of development ",9,NY,RENT,69000,Not Verified,0,NA,0,34700,100,0,credit_card,individual,5000,36,7.34,155.17,Current,4623.95,470.43,376.05,94.38,0
impulse specialist,2,TX,RENT,30000,Source Verified,0,NA,0,14300,100,0,moving,individual,8400,36,10.9,274.61,Current,8001.58,544.13,398.42,145.71,0
network engineer 3,10,NV,RENT,103000,Source Verified,0,NA,0,16700,100,0,debt_consolidation,individual,11000,36,10.91,359.66,Current,9677.92,1784.97,1322.08,462.89,0
vp institutional sales,4,FL,RENT,231000,Not Verified,0,NA,0,27000,100,0,debt_consolidation,individual,34950,36,6.08,1064.52,Current,31373.17,4246.27,3576.83,669.44,0
vp fp&a,3,MA,MORTGAGE,300000,Verified,2,9,0,87770,90,0,debt_consolidation,individual,25000,60,7.97,506.56,Current,23624.3,2015.17,1375.7,639.47,0
group leader,10,TN,MORTGAGE,54000,Not Verified,0,NA,0,10000,100,0,other,individual,5000,36,7.35,155.19,Current,4344.1,798.91,655.9,143.01,0
consultant,3,IN,MORTGAGE,50000,Not Verified,0,52,1,11500,96.3,1,major_purchase,individual,29100,36,10.41,944.59,Current,27709.7,1872.35,1390.3,482.05,0
regional underwriting manager,5,NM,MORTGAGE,160000,Verified,0,NA,1,29500,100,1,debt_consolidation,individual,24000,60,17.09,597.63,Current,22683.89,3022.34,1316.11,1706.23,0
senior programmer analyst,5,WA,RENT,94000,Verified,0,NA,0,23850,90,0,other,individual,20000,36,15.05,693.8,Current,17728.91,3452.28,2271.09,1181.19,0
attorney/shareholder,10,FL,MORTGAGE,500000,Source Verified,1,4,0,27300,90.9,0,credit_card,individual,35000,60,21.45,955.75,Current,33643.67,3718.73,1356.33,2362.4,0
office manager,2,MA,MORTGAGE,53200,Verified,0,NA,0,105400,100,0,credit_card,individual,18500,36,7.34,574.11,Current,17108.67,1707.24,1391.33,315.91,0
manager,2,MO,MORTGAGE,30000,Not Verified,0,NA,0,6800,100,0,major_purchase,individual,7000,36,9.43,224.01,Current,6315.98,892.37,684.02,208.35,0
teacher,2,FL,MORTGAGE,50000,Verified,0,NA,0,15500,100,0,credit_card,individual,14000,60,18.45,358.95,Current,13710.39,703.55,289.61,413.94,0
chemical tech,2,FL,OWN,35000,Source Verified,0,NA,1,38900,100,1,credit_card,joint,5000,36,6.71,153.73,Current,4747.75,305.6,252.25,53.35,0
claims adjuster,2,CA,RENT,70000,Not Verified,0,NA,0,9200,100,0,credit_card,individual,6400,36,12.61,214.45,Current,5953.75,638.87,446.25,192.62,0
teacher,10,IL,MORTGAGE,75000,Not Verified,0,NA,0,24700,100,0,debt_consolidation,individual,16000,36,7.34,496.53,Current,14796.68,1483.07,1203.32,279.75,0
structural drafter,2,FL,RENT,42000,Source Verified,0,NA,0,7500,100,0,major_purchase,individual,6000,36,19.42,221.22,Current,5749.75,435.97,250.25,185.72,0
psr 2,10,IL,RENT,30000,Source Verified,0,NA,1,4500,100,1,other,individual,10000,36,9.44,320.05,Current,8773.94,1595.01,1226.06,368.95,0
safety technician,9,CA,MORTGAGE,71000,Source Verified,0,56,0,5500,83.3,0,debt_consolidation,individual,12000,36,12.62,402.14,Current,10590.97,1981.25,1409.03,572.22,0
regulatory analyst,10,TX,OWN,54840,Not Verified,0,59,0,16500,96.7,0,debt_consolidation,individual,11500,60,11.99,255.76,Current,10781.51,1271.14,718.49,552.65,0
warehouse,10,AR,OWN,40000,Not Verified,0,NA,0,2500,100,0,debt_consolidation,individual,7500,36,15.05,260.18,Current,6822.92,1034.45,677.08,357.37,0
securitas officer,1,CT,RENT,40000,Not Verified,0,NA,0,4200,100,0,credit_card,individual,6000,36,16.01,210.98,Current,5601.95,622.27,398.05,224.22,0
lead,4,NV,MORTGAGE,26600,Not Verified,0,NA,0,17000,100,0,debt_consolidation,joint,16000,36,7.35,496.6,Current,14286.98,2083.27,1713.02,370.25,0
medical assistant ,10,CA,MORTGAGE,59142,Verified,0,NA,1,3000,100,1,home_improvement,individual,10000,36,7.35,310.38,Fully Paid,0,10266.06418,10000,266.06,0
account manager ,2,AZ,MORTGAGE,108000,Verified,0,NA,0,67000,100,0,debt_consolidation,individual,30000,36,7.96,939.54,Current,27763.61,2792.09,2236.39,555.7,0
,NA,TX,RENT,82000,Verified,1,19,0,16200,80,0,debt_consolidation,joint,40000,60,17.09,996.04,Current,37806.54,4942.22,2193.46,2748.76,0
senior accountant,4,KS,MORTGAGE,65000,Verified,0,41,1,28300,72.4,0,debt_consolidation,joint,40000,36,22.91,1546.52,Current,35933.38,7707.15,4066.62,3640.53,0
shift supervisor,10,CA,MORTGAGE,48370,Source Verified,0,76,0,14000,81.8,0,credit_card,individual,16000,36,9.43,512.01,Current,15224.41,1015.64,775.59,240.05,0
logistic specialist chief petty officer,10,GA,MORTGAGE,82000,Not Verified,0,NA,0,47700,100,0,debt_consolidation,individual,25000,36,6.08,761.46,Current,22441.46,3037.4,2558.54,478.86,0
instructional designer,3,CT,RENT,65000,Source Verified,0,NA,0,32100,100,0,renewable_energy,individual,1500,36,6.07,45.69,Current,1385.11,139.35,114.89,24.46,0
software support engineer,3,TX,MORTGAGE,35000,Source Verified,0,57,0,1700,89.7,0,credit_card,individual,4000,36,11.98,132.82,Current,3718.55,403.79,281.45,122.34,0
general manager,7,MA,RENT,80000,Not Verified,0,29,0,42100,97,0,home_improvement,individual,20000,60,9.93,424.26,Current,18952.04,1686.01,1047.96,638.05,0
machine operator ,3,TN,OWN,38000,Verified,0,NA,0,5400,100,0,debt_consolidation,joint,7500,36,20,278.73,Current,6869.54,1106.59,630.46,476.13,0
lead representative,10,NY,MORTGAGE,44000,Source Verified,0,NA,0,32400,100,0,credit_card,joint,30000,60,14.07,699.14,Current,28945.56,2073.97,1054.44,1019.53,0
programmer analyst,2,IL,MORTGAGE,80000,Verified,0,NA,0,28800,100,0,home_improvement,individual,26000,36,6.07,791.8,Current,24009.11,2357.86,1990.89,366.97,0
smts software engineer,5,NC,RENT,150000,Not Verified,0,44,0,6000,61.1,0,debt_consolidation,individual,20000,60,12.62,451.19,Current,18163.86,2841.93,1836.14,1005.79,0
,NA,FL,MORTGAGE,94000,Not Verified,2,9,0,21200,59.4,0,home_improvement,individual,4000,36,12.62,134.05,Current,3530.31,663.24,469.69,193.55,0
office assistant,0,CA,MORTGAGE,25920,Source Verified,0,52,0,800,87,0,debt_consolidation,joint,5000,36,9.44,160.03,Current,4511.51,636.64,488.49,148.15,0
chef,3,RI,RENT,70000,Not Verified,0,31,0,30200,90,0,house,individual,20000,36,6.08,609.17,Current,17953.16,2423.17,2046.84,376.33,0
medical assistant,10,NV,RENT,36000,Not Verified,0,NA,1,10900,100,1,home_improvement,individual,8000,36,9.44,256.04,Current,7218.41,1015.77,781.59,234.18,0
move order specialist,10,TX,RENT,100000,Source Verified,0,NA,0,45700,100,0,credit_card,individual,25000,60,12.62,563.98,Current,23462.68,2854.96,1537.32,1317.64,0
truck driver,10,CA,OWN,55000,Not Verified,0,48,1,8000,100,0,debt_consolidation,individual,5000,36,18.06,180.92,Current,4455.51,899.58,544.49,355.09,0
department manager,10,NC,MORTGAGE,140000,Source Verified,0,NA,0,38900,100,0,debt_consolidation,joint,30000,36,7.35,931.13,In Grace Period,26982.9,3712.27,3017.1,695.17,0
cfssii,8,IL,MORTGAGE,87000,Verified,0,50,0,7600,95.8,0,debt_consolidation,individual,21000,60,15.04,500.03,Current,20280.57,1482.54,719.43,763.11,0
tenant interviewer,7,NJ,RENT,50000,Source Verified,0,NA,0,70600,100,0,debt_consolidation,individual,40000,60,10.42,858.18,Fully Paid,0,40914.6593,40000,914.66,0
supervisor,10,ME,MORTGAGE,40000,Verified,0,72,1,24800,95.5,1,debt_consolidation,individual,15000,60,17.09,373.52,Current,14346.63,1479.84,653.37,826.47,0
,NA,MO,MORTGAGE,100000,Verified,0,24,0,15000,61.1,0,debt_consolidation,individual,24000,36,12.62,804.27,Current,21757.45,3200.25,2242.55,957.7,0
,NA,AZ,OWN,56820,Not Verified,0,NA,0,9000,100,0,other,individual,20000,60,11.98,444.69,Current,19257.57,1320.76,742.43,578.33,0
vp operations and technical services,10,AZ,MORTGAGE,126200,Verified,0,71,0,16800,92.7,0,debt_consolidation,individual,22000,36,11.98,730.51,Current,20452.02,2162.25,1547.98,614.27,0
hr supervisor,10,MD,MORTGAGE,160000,Verified,0,NA,0,73050,97,0,credit_card,individual,35000,60,10.9,759.25,Current,33663.94,2235.36,1336.06,899.3,0
receptionist / client services,10,FL,RENT,36171,Verified,0,50,0,9500,80,0,debt_consolidation,individual,8000,36,10.9,261.54,Current,7428.22,779.78,571.78,208,0
lpn,1,NY,RENT,60000,Verified,0,NA,0,12500,100,0,debt_consolidation,individual,10000,36,17.09,356.98,Current,9347.1,1061.45,652.9,408.55,0
driver,0,IN,MORTGAGE,37000,Source Verified,0,NA,0,15500,100,0,debt_consolidation,individual,4600,36,16.01,161.75,Current,4294.83,481.16,305.17,175.99,0
admin/reception,0,MA,RENT,50000,Verified,0,64,0,1500,50,0,other,joint,15000,36,7.35,465.57,Current,13108.5,2315.6,1891.5,424.1,0
owner,10,HI,MORTGAGE,120000,Not Verified,1,15,0,16200,75.8,0,credit_card,individual,12000,36,5.31,361.33,Current,11071.21,1080.45,928.79,151.66,0
ducts installer ,7,VA,MORTGAGE,45000,Not Verified,0,NA,0,49700,97.9,0,debt_consolidation,individual,4000,36,6.72,123,Current,3491.33,613.51,508.67,104.84,0
secretary,7,NY,MORTGAGE,40000,Source Verified,1,7,0,48600,95.2,0,debt_consolidation,joint,30000,60,14.07,699.14,Current,28945.56,2050.52,1054.44,996.08,0
family nurse practitioner ,10,WA,OWN,155000,Not Verified,0,NA,0,19800,100,0,debt_consolidation,individual,30000,36,6.71,922.35,Current,27723.52,2744.68,2276.48,468.2,0
"director, product management & engineeri",3,CA,MORTGAGE,220000,Not Verified,0,57,0,63300,96.3,0,credit_card,individual,40000,60,9.43,838.71,Current,37877.64,3333.88,2122.36,1211.52,0
investigator,10,WA,RENT,72600,Not Verified,0,70,0,8300,96.8,0,debt_consolidation,individual,3500,36,6.72,107.63,Current,3054.89,543.38,445.11,98.27,0
social media assistant,0,CA,RENT,26000,Source Verified,0,NA,0,21200,100,0,debt_consolidation,individual,6050,36,14.08,207.01,Current,5354.76,1040.59,695.24,330.35,15
physical therapist,0,WA,MORTGAGE,118000,Verified,0,60,0,28000,91.3,0,debt_consolidation,individual,40000,36,7.35,1241.5,Current,35977.23,4949.67,4022.77,926.9,0
social services coordinator,10,MS,MORTGAGE,67000,Not Verified,0,53,0,2300,96,0,debt_consolidation,joint,10000,36,15.05,346.9,Current,9097.26,1379.24,902.74,476.5,0
human services,2,WV,RENT,16000,Verified,0,NA,0,0,100,0,other,individual,10500,36,16.02,369.26,Current,9323.58,1822.94,1176.42,646.52,0
director of public works,2,PA,MORTGAGE,82000,Source Verified,0,NA,1,34500,100,1,debt_consolidation,individual,37000,60,13.58,852.9,Current,36126.72,1677.89,873.28,804.61,0
cna,5,MA,RENT,40000,Source Verified,0,NA,0,20900,100,0,credit_card,individual,10000,36,11.99,332.1,Current,8815.65,1663.13,1184.35,478.78,0
,NA,NJ,RENT,110000,Source Verified,1,18,0,23600,86.7,0,debt_consolidation,individual,30925,60,16.02,752.37,Current,29181.46,3706.8,1743.54,1963.26,0
associate broker,4,NM,MORTGAGE,84000,Not Verified,0,NA,0,24700,100,0,credit_card,individual,17500,60,11.99,389.19,Current,16629.72,1545.1,870.28,674.82,0
juvenile program manager,6,GA,RENT,45000,Not Verified,1,17,0,27100,92.7,0,debt_consolidation,individual,15000,60,17.47,376.59,Current,14353.18,1419.78,646.82,772.96,0
finance associate,10,VA,MORTGAGE,65000,Source Verified,0,NA,0,20000,100,0,debt_consolidation,individual,20000,36,9.92,644.6,Current,19037.5,1278.18,962.5,315.68,0
rn,10,MN,RENT,54000,Not Verified,0,NA,0,13600,100,0,credit_card,individual,8000,36,5.32,240.92,Current,6963.58,1202.24,1036.42,165.82,0
workforce analyst,2,KS,RENT,40000,Source Verified,1,14,0,14000,97.1,0,credit_card,individual,6300,36,13.59,214.07,Current,5866.97,637.45,433.03,204.42,0
behavioral health coordinator ,10,OK,MORTGAGE,97000,Source Verified,0,NA,0,50600,100,0,major_purchase,individual,15000,36,9.93,483.52,Current,13544.48,1913.39,1455.52,457.87,0
branch manager,8,FL,RENT,80000,Not Verified,0,NA,0,22600,100,0,other,individual,7000,36,21.45,265.35,Current,6423.88,1090.6,576.12,514.48,0
agent,10,CA,OWN,13000,Source Verified,0,36,0,7600,85,0,other,individual,8000,36,16.02,281.34,Current,7103.69,1399.58,896.31,503.27,0
team leader ,7,NH,MORTGAGE,85000,Not Verified,0,NA,0,32000,100,0,home_improvement,individual,10000,36,6.72,307.5,Current,7911.18,2333.77,2088.82,244.95,0
corrections police officer,10,NJ,MORTGAGE,83000,Verified,3,4,0,14600,81,0,debt_consolidation,individual,32000,60,21.45,873.83,Current,30759.92,3457.19,1240.08,2217.11,0
service director,10,CA,OWN,160000,Source Verified,0,30,0,28200,95.6,0,credit_card,individual,36000,60,11.98,800.44,Current,33828.12,3198.36,2171.88,1026.48,0
staff accountant,9,AZ,MORTGAGE,65000,Source Verified,0,NA,1,7900,100,1,debt_consolidation,joint,9600,36,7.96,300.66,Current,8884.33,885.31,715.67,169.64,0
emt,8,NJ,RENT,50000,Source Verified,0,39,0,6300,91.7,0,debt_consolidation,joint,15000,36,19.03,550.07,Current,13721.2,2287.5,1278.8,1008.7,0
president,10,FL,MORTGAGE,80000,Verified,0,NA,1,36500,100,1,other,joint,40000,60,9.93,848.51,Current,37369.27,4198.42,2630.73,1567.69,0
,NA,WA,RENT,28000,Source Verified,0,27,1,3400,95.8,1,credit_card,joint,10500,36,14.07,359.23,Current,9783.31,1069.48,716.69,352.79,0
cheese maker,10,WI,MORTGAGE,60000,Not Verified,0,45,0,17200,90.9,0,home_improvement,individual,12000,60,15.04,285.74,Fully Paid,0,12338.06914,12000,338.07,0
cnc operator,10,TX,MORTGAGE,98000,Not Verified,0,NA,0,169700,100,0,home_improvement,individual,10200,60,9.44,213.93,Current,9520.95,1058.95,679.05,379.9,0
machinist ,8,WA,RENT,70000,Verified,0,NA,0,6500,100,0,debt_consolidation,individual,22000,36,20,817.6,Current,20150.67,3197.07,1849.33,1347.74,0
rn,0,MI,RENT,50000,Source Verified,0,NA,0,10700,100,0,debt_consolidation,individual,4500,36,11.99,149.45,Current,4075.74,594.8,424.26,170.54,0
shipping ,4,FL,RENT,30000,Not Verified,0,NA,0,26900,100,0,credit_card,individual,5600,36,6.07,170.55,Current,5171.17,509.76,428.83,80.93,0
owner,2,CA,RENT,70000,Not Verified,0,74,0,33700,93.8,0,credit_card,individual,17000,60,9.43,356.46,Current,16326.13,1051.57,673.87,377.7,0
assistant professor,0,TX,RENT,55000,Source Verified,0,NA,0,16500,100,0,other,individual,6000,36,11.99,199.26,Current,5289.39,970.32,710.61,259.71,0
"realtor, abr, cbr",4,MA,MORTGAGE,55000,Source Verified,1,10,0,31000,92.9,0,credit_card,individual,15000,36,19.03,550.07,Current,13086.55,2784.42,1913.45,870.97,0
account representative,0,TX,MORTGAGE,63000,Not Verified,0,NA,0,10000,100,0,debt_consolidation,individual,9500,36,12.62,318.36,Current,8197.81,1704.79,1302.19,402.6,0
wood work and painting,10,VA,RENT,42000,Source Verified,0,NA,0,30000,100,0,debt_consolidation,joint,21000,36,7.34,651.69,Current,19420.66,1946.51,1579.34,367.17,0
owner,2,IL,MORTGAGE,40000,Not Verified,0,NA,0,31200,100,0,credit_card,individual,15000,36,7.96,469.77,Current,13881.81,1402.68,1118.19,284.49,0
inside sales / customer service,10,WA,RENT,48000,Source Verified,1,7,1,30600,96.7,1,credit_card,individual,12000,36,10.41,389.53,Current,10843.34,1499.13,1156.66,342.47,0
senior inspector,5,NC,OWN,50000,Source Verified,0,62,0,5500,95.8,0,debt_consolidation,individual,11200,60,14.08,261.07,Current,10536.32,1349.16,663.68,685.48,0
integrations isd team lead,6,MA,MORTGAGE,165000,Verified,0,31,0,8500,65.4,0,debt_consolidation,individual,30000,36,19.42,1106.07,Fully Paid,0,31021.63745,30000,1021.64,0
electrical assembler,5,WI,RENT,60000,Verified,1,8,1,8000,96,1,debt_consolidation,individual,6600,36,17.09,235.61,Current,5871.46,1177.5,728.54,448.96,0
project accountant 2,5,GA,MORTGAGE,43896,Source Verified,3,3,0,9900,75,0,credit_card,individual,4000,36,9.93,128.94,Current,3611.86,513.55,388.14,125.41,0
investigator,1,CA,RENT,91000,Source Verified,0,32,0,87900,94.4,0,debt_consolidation,individual,25000,36,15.04,867.13,Current,23317.7,2580.5,1682.3,898.2,0
manager,9,AK,OWN,35000,Verified,0,NA,0,113300,100,0,debt_consolidation,joint,19000,36,6.71,584.15,Current,17558.24,1745.37,1441.76,303.61,0
director/paramedic,2,ID,RENT,68750,Verified,0,NA,0,22800,100,0,major_purchase,joint,17575,36,20.39,656.65,Current,16482.58,1950.04,1092.42,857.62,0
insurance agent,10,CA,MORTGAGE,49000,Verified,0,74,0,5800,89.5,0,credit_card,joint,20000,60,23.88,573.97,Current,19084.42,2856.59,915.58,1941.01,0
hr specialist,8,CA,MORTGAGE,52000,Not Verified,0,NA,1,18200,100,1,credit_card,individual,1200,36,9.44,38.41,Current,1082.75,153.01,117.25,35.76,0
project manager ,6,VA,RENT,110000,Not Verified,0,NA,0,20300,100,0,major_purchase,individual,2100,36,19.03,77.01,Current,1874.42,380.61,225.58,155.03,0
fire sprinkler technician,2,AK,RENT,148000,Source Verified,0,NA,0,18000,100,0,other,individual,29000,36,9.44,928.15,Current,25444.41,4625.54,3555.59,1069.95,0
registrar,2,NY,RENT,75000,Source Verified,3,7,0,27700,80.8,0,debt_consolidation,individual,25000,36,9.92,805.75,Current,23796.88,1597.72,1203.12,394.6,0
manager,1,CO,RENT,60000,Source Verified,0,62,1,35100,91.4,1,debt_consolidation,individual,16000,36,16.01,562.6,Current,15297.08,1096.74,702.92,393.82,0
,NA,MN,RENT,10548,Source Verified,0,52,0,15600,92.9,0,debt_consolidation,individual,3000,36,9.93,96.71,Current,2634.57,476.93,365.43,111.5,0
product development engineer- ford,4,MI,RENT,80000,Source Verified,0,NA,0,48500,100,0,major_purchase,individual,25000,36,5.32,752.87,Current,22414.72,3004.09,2585.28,418.81,0
human services,4,MN,RENT,34000,Verified,0,NA,0,33300,100,0,credit_card,individual,13500,60,17.09,336.17,Current,12911.96,1331.86,588.04,743.82,0
office manager,10,OH,MORTGAGE,45000,Not Verified,0,NA,0,35200,100,0,debt_consolidation,joint,25000,36,7.96,782.95,Current,23136.34,2326.74,1863.66,463.08,0
bus driver,0,TN,MORTGAGE,37000,Source Verified,0,53,0,33000,96.4,0,debt_consolidation,individual,5400,36,7.34,167.58,Current,4993.88,500.54,406.12,94.42,0
guest service agent,6,CA,RENT,65000,Source Verified,0,NA,0,24500,100,0,other,individual,6000,36,9.43,192.01,Current,5562,572.89,438,134.89,0
therapist,2,FL,OWN,175000,Not Verified,0,NA,0,41200,100,0,home_improvement,individual,40000,36,10.91,1307.85,Current,36171.45,5207.16,3828.55,1378.61,0
account exec,4,NC,MORTGAGE,19000,Not Verified,0,NA,1,37200,100,1,credit_card,joint,35000,36,16.02,1230.85,Current,31078.69,6091.95,3921.31,2170.64,0
crew,0,CA,RENT,20000,Source Verified,0,NA,0,27800,100,0,debt_consolidation,individual,5000,36,11.99,166.05,Current,4407.83,823.59,592.17,231.42,0
business development officer,3,CO,MORTGAGE,60000,Not Verified,0,NA,0,73600,100,0,credit_card,individual,30000,36,7.35,931.13,Current,26217.04,4661.78,3782.96,878.82,0
,NA,CA,OWN,30504,Verified,0,80,0,90700,95,0,debt_consolidation,individual,15000,36,23.87,587.47,Current,14416.06,1155.05,583.94,571.11,0
hr consultant,5,OH,RENT,64000,Source Verified,0,NA,0,11300,100,0,debt_consolidation,individual,14400,36,7.97,451.05,Current,12599.19,2248.87,1800.81,448.06,0
it manager,4,TX,OWN,78000,Source Verified,0,27,0,23400,94.4,0,debt_consolidation,individual,20000,36,14.08,684.33,Current,17698.3,3406.01,2301.7,1104.31,0
quality control,1,MO,RENT,70000,Source Verified,0,34,0,10300,93.8,0,debt_consolidation,individual,30000,36,10.9,980.75,Current,27855.89,2924.08,2144.11,779.97,0
machine oper,7,WI,OWN,37262,Verified,0,NA,1,5200,100,1,home_improvement,joint,2500,36,14.07,85.53,Current,2329.36,252.68,170.64,82.04,0
journeyman,10,CA,MORTGAGE,79000,Verified,0,79,0,35400,96.8,0,home_improvement,joint,32000,36,9.44,1024.16,Current,28873.64,4079.86,3126.36,953.5,0
service tech,2,TN,MORTGAGE,38000,Not Verified,0,NA,0,4500,100,0,other,individual,4000,36,9.92,128.92,Current,3457.17,663.48,542.83,120.65,0
manager,10,VA,RENT,42000,Source Verified,0,NA,0,0,100,0,other,individual,8400,36,10.91,274.65,Current,7390.41,1368.16,1009.59,358.57,0
production control manager,9,TX,OWN,50000,Source Verified,0,NA,0,3300,100,0,debt_consolidation,individual,12000,60,11.99,266.88,Current,11250.27,1326.41,749.73,576.68,0
,NA,CA,RENT,50000,Source Verified,0,NA,0,57700,100,0,debt_consolidation,individual,21000,60,23.88,602.67,Current,20038.64,2957.63,961.36,1996.27,0
adminstrative assisant,10,NY,MORTGAGE,99000,Source Verified,3,12,1,7300,75,1,credit_card,individual,10000,36,16.02,351.67,Current,8826.93,1786.1,1173.07,613.03,0
software engineer,10,NH,MORTGAGE,155000,Not Verified,0,81,0,22000,96.9,0,home_improvement,individual,25000,60,7.35,499.17,Current,23603.05,1986.47,1396.95,589.52,0
assistant branch manager,5,NJ,RENT,43000,Source Verified,0,NA,0,8700,100,0,debt_consolidation,individual,19000,36,21.85,724.15,Current,17848.6,2149.39,1151.4,997.99,0
executive manger,10,MA,MORTGAGE,271000,Source Verified,0,66,1,83700,91.7,0,debt_consolidation,individual,19450,36,21.45,737.29,Current,17849.23,2891.22,1600.77,1290.45,0
information security officer,10,CA,RENT,53000,Source Verified,0,NA,1,12000,100,1,credit_card,individual,16000,60,16.02,389.26,Current,15283.16,1542.8,716.84,825.96,0
science teacher,10,MN,MORTGAGE,94000,Source Verified,1,20,0,11000,95.8,0,home_improvement,individual,25200,36,10.91,823.95,Current,22171.22,4135.03,3028.78,1106.25,0
superintendent,1,FL,MORTGAGE,90720,Source Verified,0,NA,0,7000,100,0,major_purchase,individual,20000,36,12.61,670.13,Current,18605.56,1996.38,1394.44,601.94,0
stocker,7,OH,RENT,21750,Source Verified,0,NA,1,8800,100,1,medical,individual,1300,36,10.91,42.51,Current,1143.72,207.43,156.28,51.15,0
team leader,3,OH,OWN,72000,Verified,0,NA,1,700,100,1,home_improvement,individual,14000,60,17.47,351.49,Current,13550.5,1027.29,449.5,577.79,0
,NA,FL,OWN,44000,Verified,1,23,1,52200,94.9,0,debt_consolidation,individual,8400,36,9.44,268.85,Current,7370.07,1339.84,1029.93,309.91,0
account executive,0,TX,MORTGAGE,81000,Verified,0,NA,0,29800,100,0,debt_consolidation,joint,22000,60,12.62,496.3,Current,20647.17,2481.51,1352.83,1128.68,0
"director, client engagement",7,KS,OWN,95000,Source Verified,0,75,0,42400,95.7,0,debt_consolidation,individual,6400,36,14.08,218.99,Fully Paid,0,6615.185027,6400,215.19,0
911 dispatcher ,6,AZ,RENT,54000,Not Verified,0,NA,0,33800,100,0,credit_card,individual,6000,36,6.08,182.75,Current,5385.95,728.97,614.05,114.92,0
truck driver ,5,ND,RENT,80000,Source Verified,0,51,0,11000,94.7,0,other,individual,9000,36,13.58,305.77,Current,8589.85,597.96,410.15,187.81,0
driver,2,MI,OWN,71000,Source Verified,0,NA,0,18700,100,0,credit_card,individual,20000,36,9.93,644.69,Current,17564.07,3201.38,2435.93,765.45,0
,NA,KY,MORTGAGE,90000,Verified,0,60,0,27100,94,0,credit_card,individual,25200,60,11.98,560.31,Current,24264.53,1647.39,935.47,711.92,0
,NA,VA,OWN,39000,Not Verified,0,NA,0,39500,100,0,credit_card,individual,9900,36,7.35,307.28,Current,8651.59,1532.36,1248.41,283.95,0
communications,1,NJ,OWN,120000,Source Verified,0,48,0,37000,80,0,debt_consolidation,individual,12000,36,7.35,372.45,Current,10486.83,1850,1513.17,336.83,0
director of operations,9,WA,MORTGAGE,101920,Verified,0,NA,0,37500,100,0,debt_consolidation,individual,35000,36,12.62,1172.9,Current,31729.59,4802.03,3270.41,1531.62,0
assistant chief of health and safety,1,NC,RENT,65000,Verified,0,39,0,14800,64,0,debt_consolidation,individual,24000,60,11.99,533.75,Current,22806.46,2119.01,1193.54,925.47,0
cpa,2,TX,MORTGAGE,65000,Source Verified,1,11,0,35400,100,0,debt_consolidation,joint,20000,60,17.09,498.02,Current,18903.27,2452.12,1096.73,1355.39,0
security,10,MO,MORTGAGE,910000,Source Verified,0,52,0,29800,92.6,0,major_purchase,individual,7000,36,7.34,217.23,Current,6473.55,645.98,526.45,119.53,0
